;Area;Item;Element;Unit;Y2017
2;Afghanistan;Almonds, with shell;Production;tonnes;27291.0
5;Afghanistan;Anise, badian, fennel, coriander;Production;tonnes;19180.0
8;Afghanistan;Apples;Production;tonnes;175000.0
11;Afghanistan;Apricots;Production;tonnes;131816.0
14;Afghanistan;Barley;Production;tonnes;94995.0
17;Afghanistan;Berries nes;Production;tonnes;23343.0
18;Afghanistan;Cotton lint;Production;tonnes;12134.0
19;Afghanistan;Cottonseed;Production;tonnes;23901.0
22;Afghanistan;Figs;Production;tonnes;6378.0
25;Afghanistan;Fruit, citrus nes;Production;tonnes;18129.0
28;Afghanistan;Fruit, fresh nes;Production;tonnes;81895.0
31;Afghanistan;Fruit, stone nes;Production;tonnes;51190.0
34;Afghanistan;Grapes;Production;tonnes;859903.0
37;Afghanistan;Linseed;Production;tonnes;1740.0
40;Afghanistan;Maize;Production;tonnes;173912.0
43;Afghanistan;Melons, other (inc.cantaloupes);Production;tonnes;327630.0
46;Afghanistan;Millet;Production;tonnes;11948.0
49;Afghanistan;Nuts nes;Production;tonnes;1328.0
52;Afghanistan;Olives;Production;tonnes;7878.0
55;Afghanistan;Onions, dry;Production;tonnes;212000.0
58;Afghanistan;Oranges;Production;tonnes;3914.0
61;Afghanistan;Peaches and nectarines;Production;tonnes;54752.0
64;Afghanistan;Pears;Production;tonnes;14787.0
67;Afghanistan;Pistachios;Production;tonnes;2726.0
70;Afghanistan;Plums and sloes;Production;tonnes;24794.0
73;Afghanistan;Potatoes;Production;tonnes;513194.0
76;Afghanistan;Pulses nes;Production;tonnes;36458.0
79;Afghanistan;Rice, paddy;Production;tonnes;338420.0
82;Afghanistan;Seed cotton;Production;tonnes;36770.0
85;Afghanistan;Sesame seed;Production;tonnes;32000.0
88;Afghanistan;Spices nes;Production;tonnes;9.0
91;Afghanistan;Sugar beet;Production;tonnes;2102.0
94;Afghanistan;Sugar cane;Production;tonnes;33725.0
97;Afghanistan;Sunflower seed;Production;tonnes;389.0
100;Afghanistan;Vegetables, fresh nes;Production;tonnes;681828.0
103;Afghanistan;Walnuts, with shell;Production;tonnes;7145.0
106;Afghanistan;Watermelons;Production;tonnes;683778.0
109;Afghanistan;Wheat;Production;tonnes;4280776.0
112;Afghanistan;Cereals (Rice Milled Eqv);Production;tonnes;4787357.0
115;Afghanistan;Cereals, Total;Production;tonnes;4900051.0
