,Area,Item,Element,Unit,Y2017
2,Afghanistan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2000.0
3,Afghanistan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,54.09
4,Afghanistan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,30.62
1722,Albania,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3400.0
1723,Albania,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,119.55
1724,Albania,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,117.64
2995,Algeria,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3349.0
2996,Algeria,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,92.91
2997,Algeria,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,79.69
4385,Angola,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2270.0
4386,Angola,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,54.11
4387,Angola,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,48.74
6239,Antigua and Barbuda,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2430.0
6240,Antigua and Barbuda,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,81.45
6241,Antigua and Barbuda,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,89.11
7590,Argentina,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3239.0
7591,Argentina,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,102.71
7592,Argentina,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,117.16
8954,Armenia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3078.0
8955,Armenia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,97.37
8956,Armenia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,96.93
10247,Australia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3311.0
10248,Australia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,108.1
10249,Australia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,153.92
11671,Austria,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3692.0
11672,Austria,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,108.13
11673,Austria,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,166.72
13059,Azerbaijan,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3103.0
13060,Azerbaijan,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,92.35
13061,Azerbaijan,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,58.92
14375,Bahamas,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2043.0
14376,Bahamas,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,61.47
14377,Bahamas,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,71.7
15736,Bangladesh,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2596.0
15737,Bangladesh,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,60.28
15738,Bangladesh,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,33.95
17628,Barbados,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2896.0
17629,Barbados,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,89.25
17630,Barbados,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,92.75
19019,Belarus,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3289.0
19020,Belarus,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,94.1
19021,Belarus,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,125.22
20348,Belgium,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3768.0
20349,Belgium,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,101.55
20350,Belgium,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,155.93
21739,Belize,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2698.0
21740,Belize,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,67.18
21741,Belize,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,80.62
23110,Benin,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2756.0
23111,Benin,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,64.44
23112,Benin,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,58.14
24514,Bolivia (Plurinational State of),Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2354.0
24515,Bolivia (Plurinational State of),Grand Total,Protein supply quantity (g/capita/day),g/capita/day,68.46
24516,Bolivia (Plurinational State of),Grand Total,Fat supply quantity (g/capita/day),g/capita/day,57.33
26372,Bosnia and Herzegovina,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3269.0
26373,Bosnia and Herzegovina,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,94.71
26374,Bosnia and Herzegovina,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,82.0
27675,Botswana,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2340.0
27676,Botswana,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,65.18
27677,Botswana,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,64.87
29077,Brazil,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3248.0
29078,Brazil,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,90.86
29079,Brazil,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,124.57
30606,Bulgaria,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2828.0
30607,Bulgaria,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,83.34
30608,Bulgaria,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,95.48
31999,Burkina Faso,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2720.0
32000,Burkina Faso,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,76.13
32001,Burkina Faso,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,67.71
33871,Cabo Verde,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2515.0
33872,Cabo Verde,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,69.34
33873,Cabo Verde,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,68.5
35196,Cambodia,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2472.0
35197,Cambodia,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,65.4
35198,Cambodia,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,32.81
37066,Cameroon,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,2653.0
37067,Cameroon,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,69.45
37068,Cameroon,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,53.58
38946,Canada,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,3492.0
38947,Canada,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,101.2
38948,Canada,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,153.17
40359,Central African Republic,Grand Total,Food supply (kcal/capita/day),kcal/capita/day,1758.0
40360,Central African Republic,Grand Total,Protein supply quantity (g/capita/day),g/capita/day,46.44
40361,Central African Republic,Grand Total,Fat supply quantity (g/capita/day),g/capita/day,49.02
