Reporter Countries;Partner Countries;Element;Y2017
Afghanistan;Argentina;Import Quantity;1880.0
Afghanistan;Armenia;Export Quantity;1.0
Afghanistan;Armenia;Import Quantity;3.0
Afghanistan;Australia;Export Quantity;83.0
Afghanistan;Australia;Import Quantity;26.0
Afghanistan;Austria;Export Quantity;37.0
Afghanistan;Austria;Import Quantity;2213.0
Afghanistan;Barbados;Export Quantity;1.0
Afghanistan;Belarus;Export Quantity;795.0
Afghanistan;Belgium;Export Quantity;13.0
Afghanistan;Belgium;Import Quantity;512.0
Afghanistan;Bermuda;Export Quantity;0.0
Afghanistan;Bolivia (Plurinational State of);Import Quantity;1165.0
Afghanistan;Bosnia and Herzegovina;Export Quantity;0.0
Afghanistan;Botswana;Export Quantity;0.0
Afghanistan;Brazil;Import Quantity;6261.0
Afghanistan;Bulgaria;Import Quantity;230.0
Afghanistan;Burkina Faso;Export Quantity;0.0
Afghanistan;Canada;Export Quantity;443.0
Afghanistan;Canada;Import Quantity;107.0
Afghanistan;China, Hong Kong SAR;Export Quantity;0.0
Afghanistan;China, Hong Kong SAR;Import Quantity;20.0
Afghanistan;China, mainland;Export Quantity;153.0
Afghanistan;China, mainland;Import Quantity;27094.0
Afghanistan;Cyprus;Import Quantity;77.0
Afghanistan;Czechia;Import Quantity;1.0
Afghanistan;Denmark;Export Quantity;27.0
Afghanistan;Denmark;Import Quantity;398.0
Afghanistan;Egypt;Export Quantity;16.0
Afghanistan;Egypt;Import Quantity;136.0
Afghanistan;Fiji;Import Quantity;17.0
Afghanistan;Finland;Export Quantity;0.0
Afghanistan;Finland;Import Quantity;0.0
Afghanistan;France;Export Quantity;4.0
Afghanistan;France;Import Quantity;2112.0
Afghanistan;Georgia;Import Quantity;44.0
Afghanistan;Germany;Export Quantity;451.0
Afghanistan;Germany;Import Quantity;2601.0
Afghanistan;Greece;Import Quantity;277.0
Afghanistan;Guatemala;Export Quantity;16.0
Afghanistan;Guatemala;Import Quantity;66.0
Afghanistan;Hungary;Import Quantity;85.0
Afghanistan;India;Export Quantity;58300.0
Afghanistan;India;Import Quantity;76350.0
Afghanistan;Indonesia;Export Quantity;0.0
Afghanistan;Indonesia;Import Quantity;3675.0
Afghanistan;Iran (Islamic Republic of);Export Quantity;5385.0
Afghanistan;Iran (Islamic Republic of);Import Quantity;712096.0
Afghanistan;Ireland;Import Quantity;3121.0
Afghanistan;Italy;Export Quantity;22.0
Afghanistan;Italy;Import Quantity;7628.0
Afghanistan;Japan;Import Quantity;47.0
Afghanistan;Jordan;Export Quantity;70.0
Afghanistan;Kazakhstan;Export Quantity;4747.0
Afghanistan;Kazakhstan;Import Quantity;1976656.0
Afghanistan;Kenya;Export Quantity;0.0
Afghanistan;Kenya;Import Quantity;7934.0
Afghanistan;Kuwait;Export Quantity;44.0
Afghanistan;Kyrgyzstan;Export Quantity;73.0
Afghanistan;Kyrgyzstan;Import Quantity;4427.0
Afghanistan;Latvia;Export Quantity;0.0
Afghanistan;Latvia;Import Quantity;1256.0
Afghanistan;Lebanon;Export Quantity;69.0
Afghanistan;Lebanon;Import Quantity;38.0
Afghanistan;Lithuania;Import Quantity;649.0
Afghanistan;Madagascar;Export Quantity;0.0
Afghanistan;Madagascar;Import Quantity;10.0
Afghanistan;Malaysia;Export Quantity;153.0
Afghanistan;Malaysia;Import Quantity;133624.0
Afghanistan;Malta;Import Quantity;12.0
Afghanistan;Mexico;Export Quantity;0.0
Afghanistan;Mexico;Import Quantity;27.0
Afghanistan;Mongolia;Export Quantity;1.0
Afghanistan;Montenegro;Export Quantity;0.0
Afghanistan;Morocco;Import Quantity;64.0
Afghanistan;Nepal;Export Quantity;0.0
